Time (ms), X Acceleration (g)
3030402,-0.96484375
3030504,-0.9765625
3030606,-0.9677734375
3030729,-0.95947265625
3030849,-0.97216796875
3030902,-0.96044921875
3031005,-0.97314453125
3031104,-0.96728515625
3031218,-0.9677734375
3031302,-0.96630859375
3031468,-0.9638671875
3031505,-0.9609375
3031603,-0.97021484375
3031702,-0.966796875
3031802,-0.96435546875
3031902,-0.97412109375
3032018,-0.9716796875
3032111,-0.96826171875
3032202,-0.9638671875
3032302,-0.9560546875
3032402,-0.9599609375
3032505,-0.96875
3032602,-0.9677734375
3032702,-0.97314453125
3032802,-0.96142578125
3032902,-0.96826171875
3033030,-0.96142578125
3033116,-0.9619140625
3033226,-0.96337890625
3033302,-0.958984375
3033402,-0.95703125
3033503,-0.966796875
3033603,-0.9599609375
3033702,-0.96240234375
3033802,-0.96044921875
3033902,-0.95849609375
3034018,-0.9716796875
3034109,-0.97021484375
3034225,-0.96240234375
3034315,-0.96630859375
3034445,-0.966796875
3034505,-0.96240234375
3034610,-0.9638671875
3034702,-0.96923828125
3034802,-0.970703125
3034902,-0.970703125
3035005,-0.970703125
3035109,-0.96435546875
3035202,-0.96533203125
3035302,-0.96533203125
3035402,-0.9736328125
3035505,-0.96337890625
3035609,-0.97021484375
3035702,-0.955078125
3035802,-0.97265625
3035902,-0.95849609375
3036030,-0.96728515625
3036113,-0.96435546875
3036283,-0.9638671875
3036302,-0.96630859375
3036402,-0.966796875
3036530,-0.9658203125
3036612,-0.96875
3036702,-0.9736328125
3036802,-0.96484375
3036902,-0.9716796875
3037071,-0.96337890625
3037102,-0.9619140625
3037202,-0.95947265625
3037361,-0.9599609375
3037411,-0.96630859375
3037505,-0.96875
3037607,-0.9658203125
3037731,-0.96630859375
3037881,-0.96337890625
3037902,-0.9716796875
3038040,-0.9638671875
3038102,-0.96484375
3038202,-0.9609375
3038302,-0.96435546875
3038402,-0.97021484375
3038518,-0.966796875
3038603,-0.96923828125
3038780,-0.96435546875
3038802,-0.96728515625
3038902,-0.958984375
