Time (ms), Z Mangetometer (uT)
691408,-36.309078216552734
691558,-37.05926513671875
691678,-35.55889129638672
691778,-35.85896682739258
691877,-36.009002685546875
691978,-37.35934066772461
692077,-36.009002685546875
692177,-35.408851623535156
692277,-35.85896682739258
692377,-36.75918960571289
692477,-34.508628845214844
692607,-36.90922927856445
692697,-35.55889129638672
692787,-35.408851623535156
692877,-35.1087760925293
692977,-35.408851623535156
693107,-36.15903854370117
693197,-34.958740234375
693287,-36.009002685546875
693347,-35.55889129638672
693476,-35.1087760925293
693576,-34.35858917236328
693676,-35.1087760925293
693776,-36.609153747558594
693856,-36.009002685546875
693976,-34.208553314208984
694106,-35.85896682739258
694196,-36.15903854370117
694286,-36.009002685546875
694306,-35.55889129638672
694476,-36.309078216552734
694585,-37.05926513671875
694686,-36.15903854370117
694775,-34.508628845214844
694845,-35.708927154541016
694975,-36.75918960571289
695105,-35.55889129638672
695195,-36.609153747558594
695285,-35.708927154541016
695305,-35.85896682739258
695475,-35.408851623535156
695585,-35.85896682739258
695685,-35.708927154541016
695725,-36.90922927856445
695805,-35.708927154541016
695975,-34.958740234375
696084,-34.35858917236328
696184,-35.708927154541016
696215,-36.009002685546875
696374,-35.408851623535156
696474,-36.309078216552734
696584,-35.85896682739258
696684,-36.90922927856445
696764,-36.309078216552734
696824,-36.309078216552734
696974,-36.609153747558594
697104,-35.85896682739258
697194,-34.65866470336914
697224,-35.708927154541016
697374,-36.009002685546875
697474,-37.35934066772461
697534,-34.958740234375
697664,-35.1087760925293
697773,-36.75918960571289
697873,-36.009002685546875
697973,-35.1087760925293
698103,-36.309078216552734
698193,-35.708927154541016
698283,-36.15903854370117
698373,-35.85896682739258
698403,-33.608402252197266
698573,-34.80870056152344
698693,-35.708927154541016
698783,-34.80870056152344
698873,-36.15903854370117
698973,-35.55889129638672
699082,-36.009002685546875
699192,-35.85896682739258
699282,-36.90922927856445
699303,-36.15903854370117
699472,-36.309078216552734
699502,-36.75918960571289
699642,-35.708927154541016
699782,-36.90922927856445
699882,-35.408851623535156
699982,-36.309078216552734
700082,-34.958740234375
700192,-36.75918960571289
700272,-34.508628845214844
700381,-35.55889129638672
700411,-37.05926513671875
700581,-36.009002685546875
700681,-37.05926513671875
700781,-34.508628845214844
700881,-34.958740234375
700981,-36.309078216552734
701081,-36.609153747558594
701181,-34.65866470336914
701211,-35.708927154541016
701381,-35.55889129638672
701481,-37.20930099487305
701581,-35.708927154541016
701681,-38.55963897705078
701781,-37.809452056884766
701881,-37.35934066772461
701981,-37.65941619873047
702100,-38.55963897705078
702160,-37.05926513671875
702280,-36.309078216552734
702380,-35.85896682739258
702480,-35.55889129638672
702580,-36.90922927856445
702680,-36.009002685546875
702780,-37.65941619873047
702880,-36.90922927856445
702960,-36.609153747558594
703080,-35.85896682739258
703180,-35.708927154541016
703279,-36.75918960571289
703379,-36.90922927856445
703479,-36.609153747558594
703609,-35.85896682739258
703699,-36.75918960571289
703789,-37.95949172973633
703879,-38.25956344604492
703979,-37.05926513671875
704069,-37.20930099487305
704169,-36.009002685546875
704279,-36.15903854370117
704379,-37.05926513671875
704479,-36.90922927856445
704589,-37.05926513671875
704678,-36.009002685546875
704778,-36.15903854370117
704858,-36.009002685546875
704978,-36.15903854370117
705078,-34.508628845214844
705178,-36.009002685546875
705278,-35.708927154541016
705328,-35.408851623535156
705478,-35.85896682739258
705608,-35.408851623535156
705698,-36.15903854370117
705788,-35.55889129638672
705878,-36.75918960571289
705978,-34.958740234375
706108,-36.75918960571289
706197,-34.958740234375
706287,-36.009002685546875
706377,-34.80870056152344
706477,-35.85896682739258
706577,-36.309078216552734
706677,-35.408851623535156
706777,-35.1087760925293
706877,-36.009002685546875
706977,-35.55889129638672
707002,-36.15903854370117
707187,-34.65866470336914
707257,-35.85896682739258
707377,-35.708927154541016
707427,-37.05926513671875
707576,-34.65866470336914
707676,-35.1087760925293
